state,round,year,area,section,indicator,harmonized_indicator,value,data_flag,source
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Child received vitamin A dose (%),77.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Child received vitamin A dose (%),73.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Child received vitamin A dose (%),74.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),,90.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),,97.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),,95.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a private health facility (%),,8.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a private health facility (%),,1.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a private health facility (%),,3.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Treatment of Childhood Diseases (children under age 5 years),Prevalence of diarrhoea in the 2 weeks preceding the survey (%),"Prevalence of diarrhoea, last 2 weeks (%)",6.7,,NFHS-6 PDF
